date,hour,day_of_week,month,year,title,n_messages_total,n_messages_human,n_messages_assistant,user_text_length
2026-01-12,22,Monday,2026-01,2026,Visualizaciones de control presupuestario en Power BI,2,1,1,189
2026-01-12,22,Monday,2026-01,2026,,14,7,7,4142
2026-01-13,12,Tuesday,2026-01,2026,Dashboard de control de gestión Q4: presupuesto vs real,6,3,3,2364
2026-01-13,18,Tuesday,2026-01,2026,Análisis de P&L: cómo empezar,10,5,5,1271
2026-01-13,18,Tuesday,2026-01,2026,Conectar a hoja de cálculo en Google Drive,2,1,1,66
2026-01-13,23,Tuesday,2026-01,2026,Análisis del precio de Solana y estrategia de trading,2,1,1,131
2026-01-14,12,Wednesday,2026-01,2026,Adaptación de CV para Data & Analytics en ICBC,24,20,4,70545
2026-01-14,18,Wednesday,2026-01,2026,Crear un agente personalizado para armar CV,10,5,5,5105
2026-01-15,12,Thursday,2026-01,2026,,2,1,1,3707
2026-01-15,13,Thursday,2026-01,2026,Ingresos pasivos con especialización en datos,4,2,2,691
2026-01-15,14,Thursday,2026-01,2026,Mejor momento para publicar ascenso en LinkedIn,2,1,1,199
2026-01-16,15,Friday,2026-01,2026,Adaptación de CV para Analista Senior Planeamiento Financiero MercadoLibre,12,6,6,3919
2026-01-18,21,Sunday,2026-01,2026,Automatizar tareas financieras con Python,38,19,19,3928
2026-01-20,14,Tuesday,2026-01,2026,Comparador de rendimiento SPY vs activos,4,2,2,569
2026-01-24,19,Saturday,2026-01,2026,Claude desktop vs web para análisis de datos,2,1,1,315
2026-01-24,19,Saturday,2026-01,2026,Conectar a archivo Excel,2,1,1,37
2026-01-24,21,Saturday,2026-01,2026,Optimizar header de LinkedIn con IA,8,4,4,1137
2026-01-25,15,Sunday,2026-01,2026,Registro de ingresos y gastos para clasificador de granos,44,37,7,31177
2026-01-27,17,Tuesday,2026-01,2026,Emprendimiento en tiempo libre,14,7,7,5101
2026-01-28,19,Wednesday,2026-01,2026,Automatizar obtención de datos de letras del tesoro desde Google Sheets,20,10,10,3116
2026-02-04,1,Wednesday,2026-02,2026,Pricing a Python script for enterprise use,14,7,7,2739
2026-02-05,14,Thursday,2026-02,2026,Diferencia entre USDT y USDC,4,2,2,314
